Commodity_Group,Price_Detail,Price_Type,MARKET,Unit_of_Measurement,PRICEID,Unit,Date,Value
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W23","812"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W24","800"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W25","795"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W26","791"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W27","777"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W28","772"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W29","796"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W30","797"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W31","797"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W32","817"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W33","840"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W34","850"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W35","852"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W36","845"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W37","844"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W38","836"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W39","818"
